,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
562,In the Heat of the Night,1967,110 min,7.9,75        ,"70,614",$24.38M,A black police detective is asked to investigate a murder in a racially hostile southern town.
563,Charade,1963,113 min,7.9,83        ,"72,429",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
564,The Manchurian Candidate,1962,126 min,7.9,94        ,"73,307",,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
565,Spartacus,1960,197 min,7.9,87        ,"129,358",$30.00M,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
566,L'avventura,1960,144 min,7.9,,"27,939",,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
567,Hiroshima mon amour,1959,90 min,7.9,,"29,907",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
568,The Ten Commandments,1956,220 min,7.9,,"66,880",$93.74M,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people."
569,The Searchers,1956,119 min,7.9,94        ,"84,850",,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.
570,East of Eden,1955,118 min,7.9,72        ,"43,399",,"Two brothers struggle to maintain their strict, Bible-toting father's favor."
571,Harvey,1950,104 min,7.9,,"53,996",,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
572,Miracle on 34th Street,1947,96 min,7.9,88        ,"43,976",$2.65M,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
573,The Big Sleep,1946,114 min,7.9,,"82,330",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
574,The Lost Weekend,1945,101 min,7.9,,"35,211",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
575,The Philadelphia Story,1940,112 min,7.9,96        ,"65,950",,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
576,His Girl Friday,1940,92 min,7.9,,"55,836",$0.30M,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
577,Stagecoach,1939,96 min,7.9,93        ,"45,903",,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
578,Bringing Up Baby,1938,102 min,7.9,91        ,"58,657",,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
579,The Adventures of Robin Hood,1938,102 min,7.9,97        ,"48,959",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army."
580,A Night at the Opera,1935,96 min,7.9,,"31,699",$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
581,King Kong,1933,100 min,7.9,90        ,"82,180",$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
582,Freaks,1932,64 min,7.9,80        ,"43,716",,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
583,Nosferatu,1922,94 min,7.9,,"91,858",,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
584,Quý Ông Thế Giới Ngầm,2019,113 min,7.8,51        ,"277,214",,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
585,Raazi,2018,138 min,7.8,,"27,477",,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
586,Sound of Metal,2019,120 min,7.8,82        ,"101,499",,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
587,Cuộc Di Tản Dunkirk,2017,106 min,7.8,94        ,"589,856",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
588,Nguoi La Hoàn Hao,2016,96 min,7.8,,"60,135",,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
589,Hidden Figures,2016,127 min,7.8,74        ,"210,706",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
590,Gấu Paddington 2,2017,103 min,7.8,88        ,"67,098",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
591,Udta Punjab,2016,148 min,7.8,,"28,590",,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
592,Kubo và Sứ Mệnh Samurai,2016,101 min,7.8,84        ,"122,417",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
593,Manchester by the Sea,2016,137 min,7.8,96        ,"259,579",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
594,Under sandet,2015,100 min,7.8,75        ,"38,090",$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
595,Rogue One: Star Wars Ngoại Truyện,2016,133 min,7.8,65        ,"577,158",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
596,Captain America: Nội Chiến Siêu Anh Hùng,2016,147 min,7.8,75        ,"702,540",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
597,Tám Hận Thù,2015,168 min,7.8,68        ,"545,809",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
