,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
151,Vút Bay,2009,96 min,8.2,88        ,"969,720",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
152,Miracle in Cell No. 7,2019,132 min,8.2,,"41,676",,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Điều Kì Diệu Ở Phòng Giam Số 7 (2013).
153,Article 15,2019,130 min,8.2,,"27,004",,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
154,Sói Già Phố Wall,2013,180 min,8.2,75        ,"1,252,686",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
155,Chak De! India,2007,153 min,8.2,68        ,"77,040",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
156,Máu Sẽ Phải Đổ,2007,158 min,8.2,93        ,"540,872",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
157,Pan's Labyrinth,2006,118 min,8.2,98        ,"635,843",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
158,Câu Chuyện Đồ Chơi 3,2010,103 min,8.2,92        ,"782,186",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
159,Black,2005,122 min,8.2,,"34,097",$0.73M,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
160,Người Dơi Xuất Hiện,2005,140 min,8.2,70        ,"1,352,729",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
161,"Swades: We, the People",2004,210 min,8.2,,"86,570",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
162,Der Untergang,2004,156 min,8.2,82        ,"340,456",$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
163,Hauru no ugoku shiro,2004,119 min,8.2,80        ,"354,048",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
164,A Beautiful Mind,2001,135 min,8.2,72        ,"876,982",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
165,Hera Pheri,2000,156 min,8.2,,"61,302",,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
166,"Lock, Stock and Two Smoking Barrels",1998,107 min,8.2,66        ,"552,594",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
167,L.A. Confidential,1997,138 min,8.2,90        ,"549,295",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
168,Eskiya,1996,128 min,8.2,,"67,222",,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
169,Heat,1995,170 min,8.2,76        ,"602,352",$67.44M,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
170,Casino,1995,178 min,8.2,73        ,"484,896",$42.44M,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
171,Unforgiven,1992,130 min,8.2,85        ,"389,613",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
172,Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,1989,127 min,8.2,65        ,"713,915",$197.17M,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
173,Dom za vesanje,1988,142 min,8.2,,"29,176",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
174,Hàng Xóm Của Tôi Là Totoro,1988,86 min,8.2,86        ,"308,039",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
175,Die Hard,1988,132 min,8.2,72        ,"817,030",$83.01M,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
176,Ran,1985,162 min,8.2,96        ,"118,440",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
177,Raging Bull,1980,129 min,8.2,89        ,"333,897",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
178,Höstsonaten,1978,99 min,8.2,,"30,497",,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist."
179,Tài Xế Taxi,1976,114 min,8.2,94        ,"756,589",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
180,The Message,1976,177 min,8.2,,"45,539",,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
181,Sholay,1975,204 min,8.2,,"53,336",,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
182,Monty Python and the Holy Grail,1975,91 min,8.2,91        ,"515,389",$1.23M,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
183,Chinatown,1974,130 min,8.2,92        ,"307,582",$8.49M,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
184,Anand,1971,122 min,8.2,,"32,633",,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
185,Per qualche dollaro in più,1965,132 min,8.2,74        ,"241,728",$15.00M,Two bounty hunters with the same intentions team up to track down a Western outlaw.
186,The Great Escape,1963,172 min,8.2,86        ,"232,630",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
187,Yôjinbô,1961,110 min,8.2,,"116,360",,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
188,Judgment at Nuremberg,1961,179 min,8.2,60        ,"73,185",,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
189,Some Like It Hot,1959,121 min,8.2,98        ,"253,240",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
190,Smultronstället,1957,91 min,8.2,88        ,"101,278",,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
191,Det sjunde inseglet,1957,96 min,8.2,88        ,"174,110",,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
192,Dial M for Murder,1954,105 min,8.2,75        ,"165,503",$0.01M,A former tennis player tries to arrange his wife's murder after learning of her affair.
193,Cau Chuyen Tokyo,1953,136 min,8.2,,"56,908",,"An old couple visit their children and grandchildren in the city, but receive little attention."
194,Lã Sinh Môn,1950,88 min,8.2,98        ,"158,965",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
195,All About Eve,1950,138 min,8.2,98        ,"125,170",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
196,The Treasure of the Sierra Madre,1948,126 min,8.2,98        ,"118,821",$5.01M,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
197,To Be or Not to Be,1942,99 min,8.2,86        ,"33,149",,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
198,The Gold Rush,1925,95 min,8.2,,"105,746",$5.45M,A prospector goes to the Klondike in search of gold and finds it and more.
199,Sherlock Jr.,1924,45 min,8.2,,"45,327",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
200,Bức Chân Dung Bị Thiêu Cháy,2019,122 min,8.1,95        ,"75,494",$3.76M,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
201,Pink,III),136 min,8.1,,"41,953",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
202,Three Billboards: Truy Tìm Công Lý,2017,115 min,8.1,88        ,"461,847",$54.51M,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
203,Sát Thủ Vô Hình,2016,106 min,8.1,,"158,457",,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
204,Ah-ga-ssi,2016,145 min,8.1,84        ,"125,907",$2.01M,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
205,Mommy,I) (,139 min,8.1,74        ,"53,412",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
206,Haider,2014,160 min,8.1,,"52,055",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
